regno,name,dept,hist_arrear,cgpa,dept_encoded,hist_arrear_encoded,placement_eligible,risk_group
100000,Anna Pearson,CIVIL,Yes,8.73,1,1,False,Low
100001,Jacqueline Scott DVM,FT,Yes,9.82,5,1,False,Low
100002,Amy Jones,ECE,No,5.06,3,0,False,High
100003,Jessica Leonard,AD,No,5.41,0,0,False,High
100004,Sarah Delgado,AD,No,5.17,0,0,False,High
100005,Brian Martinez,CSE,No,7.01,2,0,False,Low
100006,Mark Roberts,MECH,No,6.83,6,0,False,Low
100007,Teresa Baker,CSE,No,9.72,2,0,True,Low
100008,Morgan Mccann,FT,Yes,8.19,5,1,False,Low
100009,Robert Bradley,AD,No,7.65,0,0,True,Low
100010,Eric Bishop,CIVIL,Yes,9.98,1,1,False,Low
100011,Christopher Walsh,CSE,No,7.2,2,0,False,Low
100012,Laura Carter,ECE,Yes,8.33,3,1,False,Low
100013,Anthony Sparks,EEE,No,7.74,4,0,True,Low
100014,Shelley Marquez,EEE,No,7.64,4,0,True,Low
100015,Jose Shaffer,CSE,Yes,6.26,2,1,False,Low
100016,Chelsea Hall,ECE,No,9.22,3,0,True,Low
100017,Andrew Quinn,EEE,No,7.72,4,0,True,Low
100018,Andrea Brown,AD,No,8.4,0,0,True,Low
100019,Michelle Jones,FT,Yes,8.09,5,1,False,Low
100020,Michael Gonzalez,ECE,Yes,8.22,3,1,False,Low
100021,Craig Pollard,CSE,No,5.31,2,0,False,High
100022,Ryan Barry,CSE,No,6.02,2,0,False,Low
100023,Timothy Powers,EEE,No,7.28,4,0,False,Low
100024,Kristen Smith,FT,No,7.33,5,0,False,Low
100025,Jasmine Davis,MECH,Yes,9.6,6,1,False,Low
100026,Stacy Hernandez,FT,Yes,9.23,5,1,False,Low
100027,Jessica Williams,ECE,Yes,5.25,3,1,False,High
100028,Karen Baker,CIVIL,No,7.87,1,0,True,Low
100029,Mr. Richard Ruiz,FT,Yes,5.33,5,1,False,High
100030,Joseph Walker,CIVIL,No,8.24,1,0,True,Low
100031,Thomas Roberts,FT,No,6.48,5,0,False,Low
100032,Jeffrey Summers,CIVIL,Yes,6.22,1,1,False,Low
100033,Michelle Johnson,CSE,No,5.15,2,0,False,High
100034,Daniel Carey,CIVIL,No,6.91,1,0,False,Low
100035,Angela Kaiser,EEE,Yes,6.78,4,1,False,Low
