regno,name,dept,hist_arrear,cgpa
100000,Anna Pearson,CIVIL,Yes,8.73
100001,Jacqueline Scott DVM,FT,Yes,9.82
100002,Amy Jones,ECE,No,5.06
100003,Jessica Leonard,AD,No,5.41
100004,Sarah Delgado,AD,No,5.17
100005,Brian Martinez,CSE,No,7.01
100006,Mark Roberts,MECH,No,6.83
100007,Teresa Baker,CSE,No,9.72
100008,Morgan Mccann,FT,Yes,8.19
100009,Robert Bradley,AD,No,7.65
100010,Eric Bishop,CIVIL,Yes,9.98
100011,Christopher Walsh,CSE,No,7.2
100012,Laura Carter,ECE,Yes,8.33
100013,Anthony Sparks,EEE,No,7.74
100014,Shelley Marquez,EEE,No,7.64
100015,Jose Shaffer,CSE,Yes,6.26
100016,Chelsea Hall,ECE,No,9.22
100017,Andrew Quinn,EEE,No,7.72
100018,Andrea Brown,AD,No,8.4
100019,Michelle Jones,FT,Yes,8.09
100020,Michael Gonzalez,ECE,Yes,8.22
100021,Craig Pollard,CSE,No,5.31
100022,Ryan Barry,CSE,No,6.02
100023,Timothy Powers,EEE,No,7.28
100024,Kristen Smith,FT,No,7.33
100025,Jasmine Davis,MECH,Yes,9.6
100026,Stacy Hernandez,FT,Yes,9.23
100027,Jessica Williams,ECE,Yes,5.25
100028,Karen Baker,CIVIL,No,7.87
100029,Mr. Richard Ruiz,FT,Yes,5.33
100030,Joseph Walker,CIVIL,No,8.24
100031,Thomas Roberts,FT,No,6.48
100032,Jeffrey Summers,CIVIL,Yes,6.22
100033,Michelle Johnson,CSE,No,5.15
100034,Daniel Carey,CIVIL,No,6.91
100035,Angela Kaiser,EEE,Yes,6.78
100036,Joseph Greene,MECH,No,5.08
100037,Carl Kirby,CSE,No,5.1
100038,Jacob Ford,FT,No,8.04
100039,David Wolfe,CIVIL,No,7.61
100040,Samantha Thomas,ECE,Yes,8.56
100041,Laura Clay,CIVIL,Yes,8.56
100042,Justin Combs,ECE,Yes,5.62
100043,Lisa Francis,EEE,Yes,5.42
100044,Julie Soto,EEE,Yes,6.51
100045,John Schneider,EEE,No,8.95
100046,Brandy Short,MECH,Yes,5.72
100047,Angela Simmons,FT,No,8.43
100048,Alison Phillips,CSE,No,5.23
100049,Cheryl Salas,ECE,Yes,5.5
100050,Bailey Wright,FT,No,9.83
100051,Scott Smith,EEE,No,8.25
100052,Craig Crawford,CIVIL,Yes,9.84
100053,Melissa Powers,EEE,No,7.43
100054,Michael Hamilton,FT,No,7.23
100055,Joanna Compton,MECH,No,9.74
100056,Steven Bell,AD,Yes,8.77
100057,Donald Bolton,AD,Yes,6.66
100058,Shannon Wright,ECE,No,6.28
100059,Fred Harvey Jr.,AD,No,9.62
100060,Joshua Aguirre,AD,Yes,5.12
100061,James Cantrell,MECH,No,6.23
100062,Samuel Torres,AD,Yes,7.55
100063,Andrew Church,EEE,Yes,5.04
100064,Aaron Brown,FT,Yes,5.64
100065,Samantha Escobar,CSE,Yes,8.81
100066,Maria Neal,AD,No,8.57
100067,Darryl Hopkins,ECE,Yes,8.47
100068,Linda White,AD,No,7.86
100069,Walter Fleming,FT,No,5.08
100070,Frederick Turner,EEE,No,9.74
100071,Jennifer Burns,AD,No,9.37
100072,Barbara Miller,AD,Yes,8.33
100073,Curtis Rodgers,ECE,Yes,9.95
100074,Mrs. Debra Huynh,FT,No,6.72
